parameter_id,IMPC_LDT_006_001
mouse_strain,C57BL
gene_symbol,Rab3gap2
gene_accession_id,MGI:1916043
parameter_name,Latency to first transition into dark
pvalue,0.8709745
analysis_id,tyno3q00vn392ld
mouse_life_stage,Early adult
