analysis_id,x7jjyyz19f234ve
gene_symbol,Mecom
parameter_id,IMPC_IMM_004_002
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
pvalue,0.7482896
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:95457
