analysis_id,269jhy0l0b81p49
pvalue,0.9183463
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,Facial Morphology
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_id,IMPC_GEP_017_001
