parameter_name,Startle response
pvalue,0.156247
parameter_id,IMPC_CSD_036_001
gene_symbol,Slx4ip
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
analysis_id,owc5s460oc3g1l0
mouse_strain,C57BL
