parameter_name,Retina (combined)
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
mouse_life_stage,Early adult
pvalue,0.6463481
analysis_id,z104043ti144owb
mouse_strain,C57BL
parameter_id,IMPC_EYE_092_001
