analysis_id,a9ozrnfa2asva7i
mouse_strain,C3H
gene_accession_id,MGI:95457
parameter_name,Prepulse inhibition - PP3
gene_symbol,Mecom
pvalue,1.854187e-07
parameter_id,ESLIM_011_001_703
mouse_life_stage,Early adult
