gene_symbol,Nemp2
parameter_id,IMPC_CSD_047_001
analysis_id,b224k2a0838jx52
mouse_strain,C57BL
gene_accession_id,MGI:2444113
pvalue,0.5795835
parameter_name,Hindlimb digit - size
mouse_life_stage,Early adult
