parameter_name,Lens
analysis_id,gd2y2rjd261774g
parameter_id,IMPC_EYE_016_001
gene_symbol,Nanp
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.1678679
gene_accession_id,MGI:1914561
