gene_symbol,Rnd3
parameter_id,IMPC_ECG_004_001
mouse_strain,C56BL
pvalue,0.3120619
gene_accession_id,MGI:1921444
mouse_life_stage,Early adult
analysis_id,9mgq7ulls0g08d5
parameter_name,RR
