gene_symbol,Tatdn3
parameter_id,IMPC_IMM_055_001
parameter_name,NK Subsets (Q2)
pvalue,0.2691071
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,izb6k1tz8b685j6
gene_accession_id,MGI:1916222
