gene_symbol,Ilkap
analysis_id,8iqaj5s8x9yjc6k
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_062_001
pvalue,0.8060327
mouse_strain,C57BL
parameter_name,Right total retinal thickness
gene_accession_id,MGI:1914694
