gene_symbol,Prkcq
parameter_name,KLRG1+ mature NK cell number
parameter_id,MGP_PBI_031_001
gene_accession_id,MGI:97601
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,34n89hw98944quf
pvalue,0.7326205
