gene_symbol,Sprr1b
parameter_name,Total protein
pvalue,0.1047207
mouse_strain,C57BL
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
analysis_id,107zv3gc25d06z1
parameter_id,IMPC_CBC_006_001
