gene_symbol,Tiprl
analysis_id,qolh5o3293k90w6
mouse_strain,C57BL
pvalue,0.8543411
mouse_life_stage,E12.5
parameter_id,IMPC_CBC_024_001
gene_accession_id,MGI:1915087
parameter_name,UIBC (unsaturated iron binding capacity)
