gene_symbol,Slc39a10
parameter_id,IMPC_XRY_023_001
parameter_name,Ulna
gene_accession_id,MGI:1914515
mouse_life_stage,E9.5
analysis_id,9us9z9815ccw9ng
pvalue,0.9145719
mouse_strain,C57BL
