parameter_name,Periphery average speed
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_013_001
pvalue,0.9297979
mouse_strain,C57BL
analysis_id,t0a4b507lwvwc5i
