analysis_id,68y87jf087etl3b
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.3964092
mouse_strain,C57BL
parameter_name,Red blood cell count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_002_001
