gene_symbol,Tox
gene_accession_id,MGI:2181659
parameter_id,JAX_OFD_014_001
mouse_life_stage,Early adult
parameter_name,Center distance travelled
mouse_strain,C57BL
analysis_id,0h2g6z82yhw08c5
pvalue,0.7674014
