parameter_name,Percent time in dark
mouse_life_stage,Early adult
parameter_id,JAX_LDT_008_001
analysis_id,5q5ooqjrckyw557
gene_symbol,Ift74
pvalue,0.9644659
mouse_strain,C57BL
gene_accession_id,MGI:1914944
