analysis_id,u6ao2g00i5vyx35
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Amigo1
pvalue,0.1933922
parameter_id,IMPC_XRY_021_001
parameter_name,Humerus
gene_accession_id,MGI:2653612
