analysis_id,1zfi2hslt1o0eh1
mouse_strain,C57BL
gene_symbol,Sla2
parameter_name,Latency to center entry
mouse_life_stage,Early adult
gene_accession_id,MGI:1925049
parameter_id,IMPC_OFD_018_001
pvalue,0.3852524
