mouse_strain,B6J
gene_accession_id,MGI:1346344
analysis_id,2t2k332d9f97cm5
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
pvalue,0.7323238
gene_symbol,Nr0b2
