analysis_id,3p2252eim88r3nt
gene_symbol,Traf6
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
pvalue,0.7971966
parameter_name,% Freezing duration pre-cue-2
parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
