analysis_id,9a2c150be5jqjqq
gene_symbol,Cpa3
pvalue,0.4256135
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD4- NKT cells - % of CD4- NKT cells
mouse_strain,C57BL
gene_accession_id,MGI:88479
parameter_id,MGP_IMM_028_001
