gene_symbol,Psmd14
analysis_id,5n3538jmcgppyov
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
parameter_name,Red blood cell distribution width
parameter_id,IMPC_HEM_027_001
pvalue,0.9501361
mouse_strain,C57BL
