parameter_name,Alkaline phosphatase
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,g8sb47c76sjlqo8
gene_symbol,Trp53i11
parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:2670995
pvalue,0.1597655
