gene_symbol,Tubb4b
analysis_id,8on1rhv779ngiz4
parameter_id,IMPC_GEP_017_001
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
parameter_name,Facial Morphology
mouse_strain,C57BL
pvalue,0.3994933
