parameter_name,NK Subsets (Q2)
gene_symbol,Lurap1
mouse_life_stage,Early adult
gene_accession_id,MGI:1915325
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
analysis_id,7d202jt8eyj3ac7
pvalue,0.2020448
