gene_symbol,Prkcq
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:97601
analysis_id,7f21jic9cm5gk1m
mouse_strain,C57BL
pvalue,0.1928353
mouse_life_stage,Early adult
parameter_name,Weight
