gene_symbol,Cds2
analysis_id,g4885r94h1938yl
pvalue,0.2584609
gene_accession_id,MGI:1332236
parameter_id,IMPC_HEM_002_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Red blood cell count
