parameter_id,JAX_SLW_013_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
pvalue,0.833379
parameter_name,Breath rate during sleep mean
mouse_strain,C57BL
gene_symbol,Rap2b
analysis_id,geu59983303h61c
