analysis_id,f326fbv90001gn3
parameter_id,MGP_PBI_038_001
pvalue,0.6848117
mouse_strain,C57BL
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
mouse_life_stage,Early adult
parameter_name,Ly6Clow monocyte number
