gene_symbol,Hspa5
parameter_id,HMGULA_CBC_016_001
mouse_strain,C57BL
parameter_name,HDL-cholesterol
gene_accession_id,MGI:95835
pvalue,0.6369877
analysis_id,5548v403z0k2csn
mouse_life_stage,Early adult
