gene_symbol,Rnf114
parameter_id,JAXLA_CSD_022_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6906524
analysis_id,2fkl60q15xixs13
gene_accession_id,MGI:1933159
parameter_name,Hindlimbs - size
