analysis_id,3h2v1p4pi77tq2d
gene_accession_id,MGI:95457
mouse_life_stage,E15.5
gene_symbol,Mecom
mouse_strain,C57BL
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
parameter_id,MGP_IMM_094_001
pvalue,0.3114359
