analysis_id,6mp7518nia1323d
gene_symbol,Eprs1
parameter_name,Right total retinal thickness
pvalue,0.9625714
gene_accession_id,MGI:97838
parameter_id,IMPC_EYE_062_001
mouse_strain,C57BL
mouse_life_stage,E9.5
