gene_symbol,Ints7
parameter_id,MGP_BMI_019_001
gene_accession_id,MGI:1924315
mouse_strain,C57BL
parameter_name,T cells - % of CD45+
pvalue,0.7206898
mouse_life_stage,E9.5
analysis_id,jy09mod71y9f432
