gene_symbol,Sfpq
mouse_strain,C57BL
pvalue,0.5873569
parameter_name,Total bilirubin
parameter_id,IMPC_CBC_008_001
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
analysis_id,c7ujyg3hcemi2l8
