gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:2444554
pvalue,0.6578261
analysis_id,ojlrs558mpu4i5m
mouse_life_stage,E12.5
parameter_name,Head morphology
