analysis_id,6d418t08ksl0lm3
gene_accession_id,MGI:2674093
parameter_name,Ventral coat/hair presence
parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
pvalue,0.1058259
mouse_life_stage,Early adult
gene_symbol,Psd4
