parameter_name,Alanine aminotransferase
gene_symbol,Tnfsf10
analysis_id,vt5v23d1jlfcl37
pvalue,2.958779e-06
mouse_life_stage,Early adult
gene_accession_id,MGI:107414
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
