analysis_id,1ql1327c98kr69h
parameter_name,CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
parameter_id,MGP_IMM_072_001
pvalue,0.5417748
