analysis_id,4sr19p1694j8bg6
mouse_strain,C57BL
parameter_id,IMPC_ECG_004_001
gene_symbol,Rhbg
parameter_name,RR
gene_accession_id,MGI:1927379
pvalue,0.06374883
mouse_life_stage,Early adult
