analysis_id,7fn3m64nf2a59wv
parameter_id,HMGULA_CBC_018_001
gene_accession_id,MGI:891989
parameter_name,Glucose
gene_symbol,Npbwr1
pvalue,0.1325494
mouse_life_stage,Early adult
mouse_strain,C57BL
