parameter_name,Corneal opacity
mouse_strain,C57BL
gene_symbol,Mov10
pvalue,0.4752993
analysis_id,574a4u4o27940hm
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_008_001
gene_accession_id,MGI:97054
