parameter_name,Eosinophil differential count
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1919107
gene_symbol,Slc17a9
parameter_id,IMPC_HEM_035_001
pvalue,0.9789992
analysis_id,536uc93c4u3c506
