analysis_id,n7bh3013k699v1j
mouse_strain,C57BL
gene_symbol,Rhbg
parameter_id,M-G-P_014_001_009
pvalue,0.3631489
parameter_name,lens
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
