analysis_id,ezz2m38h8rx4mo1
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.1999172
parameter_id,MGP_PBI_009_001
gene_accession_id,MGI:108072
gene_symbol,Traf6
mouse_strain,C57BL
mouse_life_stage,Early adult
