parameter_name,Time mobile light side
mouse_strain,C57BL
parameter_id,JAX_LDT_003_001
mouse_life_stage,E15.5
analysis_id,805mum2d9d3y190
gene_accession_id,MGI:88174
pvalue,0.2840332
gene_symbol,Bmi1
