gene_symbol,Cisd2
analysis_id,ex2lp3w918kf4wz
gene_accession_id,MGI:1914256
parameter_name,Periphery average speed
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_013_001
pvalue,0.5088315
mouse_strain,C57BL
