analysis_id,zqyn0b0ak269v4k
gene_accession_id,MGI:1915033
mouse_strain,C57BL
pvalue,0.3348077
parameter_id,MGP_MLN_005_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
mouse_life_stage,Early adult
gene_symbol,Ahctf1
