gene_symbol,Nipal3
parameter_name,Glucose
mouse_strain,129SV
parameter_id,IMPC_CBC_018_001
pvalue,0.2421376
mouse_life_stage,Early adult
analysis_id,yk0il7ua8nh044s
gene_accession_id,MGI:1921802
