parameter_name,Eyelid morphology
gene_symbol,Inpp1
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
parameter_id,IMPC_EYE_004_001
mouse_strain,C57BL
analysis_id,n2152p5v730uu4x
pvalue,0.6387499
