parameter_id,ICS_FEA_019_001
mouse_strain,C57BL
gene_accession_id,MGI:88071
analysis_id,gv053ha0grc0m4s
gene_symbol,Arnt
mouse_life_stage,Early adult
parameter_name,% Freezing duration pre-cue-2
pvalue,0.8261362
