parameter_name,Calcium
pvalue,0.1668271
gene_symbol,Arpc2
analysis_id,s9p76065l4457a5
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
gene_accession_id,MGI:1923959
