gene_symbol,Nemp2
analysis_id,57xo4995z37rs34
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5279771
gene_accession_id,MGI:2444113
parameter_id,HRWLLA_OFD_013_001
parameter_name,Periphery average speed
