gene_symbol,Ola1
pvalue,0.82418
parameter_name,Corneal opacity
analysis_id,as282j98tey3cjo
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_008_001
gene_accession_id,MGI:1914309
mouse_strain,C57BL
