parameter_name,Neural tube morphology
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_060_001
gene_symbol,Mms22l
analysis_id,mu6xv6i4xl64p62
mouse_strain,129SV
pvalue,0.9347242
gene_accession_id,MGI:2684980
