gene_symbol,Rab22a
parameter_id,JAXLA_HBD_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:105072
analysis_id,v210193dpr80or9
mouse_strain,C57BL
parameter_name,Total holepokes
pvalue,0.5937474
