analysis_id,638017b585l071k
gene_symbol,Psd4
mouse_strain,C57BL
parameter_name,CD8 CD44+CD62L- T cells
gene_accession_id,MGI:2674093
pvalue,0.9955074
parameter_id,IMPC_IMM_032_001
mouse_life_stage,Early adult
