analysis_id,w4p93747oz53696
pvalue,0.7894821
gene_accession_id,MGI:1914944
mouse_life_stage,Early adult
parameter_id,MGP_MLN_006_001
gene_symbol,Ift74
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,C57BL
