analysis_id,1kzs8m1wii4wp17
gene_symbol,Rap2b
parameter_name,Follicular B cells - % of B2 cells
mouse_strain,C57BL
gene_accession_id,MGI:1921262
pvalue,0.3755901
mouse_life_stage,Early adult
parameter_id,MGP_IMM_048_001
