analysis_id,cuko97icrpezc82
gene_symbol,Tnfsf10
mouse_life_stage,Early adult
pvalue,0.1101703
parameter_id,MGP_IMM_073_001
mouse_strain,C57BL
gene_accession_id,MGI:107414
parameter_name,Effector CD4+ T helper cells - % of CD45+
