parameter_id,IMPC_ECG_005_001
pvalue,0.06029865
mouse_strain,C57BL
mouse_life_stage,Late adult
analysis_id,4r3433vtu0jp68u
gene_accession_id,MGI:109356
gene_symbol,Snap23
parameter_name,PQ
